gene,D,chronos_hct116,pan_essentiality,CRA,CR,halflife_h,ZC,is_mito,E,L,R,F,Zc_dev,E_n,D_n,L_n,R_n,F_n,Zc_n,score,rank,apop_rank
CAV1,0.1100228571428571,-0.124766197728672,0.0016556291390728,0.0,1.63207,,-0.2194092827004219,False,0.12455963117614109,0.0,1.63207,0.0,0.10306689784017535,0.028933252085693372,0.06797429659979885,0.0,0.0816035,0.0,0.2574805818588424,0.05418681869858978,5213,80
CTH,0.1063085714285714,-0.1391454784301179,0.0,4.0,0.0,,-0.1471774193548387,False,0.1391454784301179,4.0,0.0,0.0,0.030835034494592142,0.03232131603143477,0.06475393998246146,0.13333333333333333,0.0,0.0,0.07701792536545307,0.05297347307244152,5392,81
PPT1,0.1297257142857142,0.0412800977630329,0.0024834437086092,0.0,2.34922,,-0.1713173264114211,False,0.04117758096395253,0.0,2.34922,0.0,0.054974941551174564,0.009564907338432255,0.08505704985607479,0.0,0.117461,0.0,0.13732859095207964,0.0528721667059561,5405,82
TGFBR3,0.1829758713136729,0.1429976637046505,0.0041390728476821,0.0,0.0,,-0.1400143850395588,False,0.1424057859575286,0.0,0.0,0.0,0.023672000179312244,0.03307863442325035,0.1312259525066402,0.0,0.0,0.0,0.05912194232948784,0.052247473195441554,5504,83
ISG20,0.2152755905511811,0.0576995626698059,0.0008278145695364,0.0,0.0,,-0.1149943630214205,False,0.05765179813117196,0.0,0.0,0.0,0.0013480218388260412,0.013391610048715474,0.15923042566404597,0.0,0.0,0.0,0.0033481570742114877,0.051954018567539006,5553,84
CASP4,0.1277966101694915,0.0750267497255199,0.0,4.0,0.0,18.34,-0.1134453781512605,False,0.0750267497255199,4.0,0.0,0.0,0.002897006708986044,0.01742753926357559,0.08338447976209502,0.13333333333333333,0.0,0.0,0.00721811018894357,0.05060451121714837,5762,85
GCH1,0.2024534161490683,-0.0643379013302361,0.0091059602649006,0.0,0.0,,-0.1258169934640522,False,0.06375204295719587,0.0,0.0,0.0,0.009474608603805654,0.014808601409955185,0.14811335569129644,0.0,0.0,0.0,0.02365146046285258,0.05005916015351811,5852,86
BCL2L1,0.1041142857142857,-1.9767000101830967,0.8650662251655629,0.0,0.0,,-0.0623376623376623,True,0.26672359408927554,0.0,0.0,0.0,0.08913446309972087,0.06195571480196675,0.06285145238083444,0.0,0.0,0.0,0.22267206290019445,0.04857575329985008,6090,87
PSEN1,0.1003236994219653,-0.2678968844335672,0.0082781456953642,0.0,0.0,,-0.212234706616729,False,0.26567919499289194,0.0,0.0,0.0,0.09589232175648245,0.06171311724408698,0.059564941705817616,0.0,0.0,0.0,0.23955576309731272,0.04836120583983701,6140,88
CLU,0.2047866205305651,0.0122992105413196,0.0,0.0,0.0,,-0.0971379011274935,False,0.0122992105413196,0.0,0.0,0.0,0.019204483732753047,0.002856914039379237,0.15013628842925322,0.0,0.0,0.0,0.047960387739420934,0.048295980127560784,6149,89
