Gene,Protein ID,log2fc_24h,log2fc_48h,mean_A,mean_C,mean_B
Tcea1,P10711,-0.38848772183842756,-0.555597453881138,946466492.5,723034110.0,643952367.5
Rras,P10833,,,,,
Slc3a2,P10852,0.3441929442756318,0.6603013546165916,1426115102.5,1810368480.0,2253850435.0
H2bc15,P10853,-0.09802270468023332,-0.45915630335249025,231163144.0,215978648.0,168150736.0
H1-0,P10922,0.028808112425448163,0.31765690661532403,1436383712.5,1465354080.0,1790171872.5
Spp1,P10923,,,,,
Sub1,P11031,0.047912189583021125,-0.15442446876201962,149923378.0,154985962.66666666,134704766.0
Col1a1,P11087,-0.9428043741219181,0.03104438155397265,3318491137.5,1726347680.0,3390673345.0
Parp1,P11103,0.045101738095808044,-0.06799995040773724,581999967.5,600481921.0,555204446.5
Rrm2,P11157,0.14041873855643525,-0.06659274457346182,447076680.0,492779088.0,426909288.0
Fn1,P11276,-0.32622446170681163,-0.20795887787752157,2285795647.5,1823198912.5,1978953280.0
Lamp1,P11438,0.8866430765481388,0.7428499170429045,521156062.0,963549333.3333334,872143405.0
Cdk1,P11440,0.06526107628737184,-0.011080660290879759,2066444672.5,2162067872.5,2050634080.0
Hsp90ab1,P11499,-0.1436735293671757,-0.5866137613808811,35654854500.0,32275176550.0,23742712325.0
Itga5,P11688,0.13492202604445686,0.4574141611401909,245918796.0,270027068.0,337665824.0
Tcp1,P11983,-0.01786773205887543,-0.41356004162096716,4357722932.5,4304085507.5,3271640957.5
Gusb,P12265,0.6335938438889144,,390232816.0,605416900.0,
Prkar2a,P12367,-0.24199123986316007,-0.08070925556971549,300921980.0,254452832.0,284549616.0
Pfkl,P12382,-0.06065117050025357,-0.043662302151724175,811546370.0,778136017.5,787353345.0
Cox5a,P12787,0.3430333895780097,0.8430590714599605,476059880.0,603844232.5,853979905.0
Pdcd6,P12815,0.12550306537482464,0.005585425445178186,485526144.5,529654672.5,487409513.0
Rpl7a,P12970,-0.07315102534071871,-0.024843637962135144,6985287775.0,6639932275.0,6866028825.0
Scd2,P13011,-0.2579699099401283,,97084298.0,81188088.0,
Gsn,P13020,-0.5512820885193066,-0.31791734997287385,1104004320.0,753387357.5,885662210.0
Umps,P13439,0.13813449848869916,-0.03567458221960961,3783488575.0,4163658045.0,3691078720.0
Ncam1,P13595,-0.6647325454029734,-0.15945714762087115,710824480.0,448392088.0,636445165.0
Gsta1,P13745,1.3596250578149227,,174521568.0,447854592.0,
Dnmt1,P13864,0.3242865354907898,0.09971298911087158,566910287.5,709797250.0,607478537.5
S100a6,P14069,0.6976293713603007,0.23368509317685593,6526245000.0,10584509575.0,7673784450.0
Rpl27a,P14115,-0.30974186519441377,-0.30210066208616415,9055379725.0,7305754500.0,7344551925.0
Rps16,P14131,0.43894550120832265,0.3755334811837257,7242318350.0,9817781750.0,9395598575.0
Rpl7,P14148,-0.022991058221459935,0.005285548110490566,7691501475.0,7569899775.0,7719732225.0
Mdh1,P14152,-0.29713692562985333,-0.7401390385900855,1714264445.0,1395181440.0,1026298670.0
Rpsa,P14206,0.03833220299339985,0.05598113148663136,9131222400.0,9377089550.0,9492506875.0
Calr,P14211,-0.17978252430108216,0.11346368681011956,7002412400.0,6181982225.0,7575366650.0
Srp54,P14576,-0.1048095473283762,-0.10211441798640238,748745680.0,696279345.0,697581295.0
Psmd3,P14685,0.04172123195055141,-0.17297271701849962,1068137970.0,1099478385.0,947452350.0
Lmnb1,P14733,0.08852145545301529,0.35298953940810424,1507475455.0,1602868385.0,1925354432.5
